sequence,branch_length
sp|Q0JQF7|DRE2A_ORYSJ,0.4254
sp|Q6J1A5|DRE1D_ORYSJ,0.33931
sp|Q9LWV3|DRE1C_ORYSJ,0.24419
sp|Q3T5N4|DRE1B_ORYSJ,0.17827
sp|Q64MA1|DRE1A_ORYSJ,0.19418
