Gene,Target,Evidence,FileLayer
LOC_Os01g07120,LOC_Os04g12340,motif,merged
LOC_Os01g07120,LOC_Os06g09560,motif,merged
LOC_Os01g07120,LOC_Os07g32430,motif,merged
LOC_Os01g07120,LOC_Os11g03120,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os04g51180,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os02g18050,motif,merged
LOC_Os01g07120,LOC_Os03g30690,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os01g68450,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os04g40130,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g27360,motif,merged
LOC_Os01g07120,LOC_Os02g21450,motif,merged
LOC_Os01g07120,LOC_Os09g25934,motif,merged
LOC_Os01g07120,LOC_Os03g08140,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os12g23240,motif,merged
LOC_Os01g07120,LOC_Os05g26870,motif,merged
LOC_Os01g07120,LOC_Os10g19331,motif,merged
LOC_Os01g07120,LOC_Os05g45210,motif,merged
LOC_Os01g07120,LOC_Os10g35130,motif,merged
LOC_Os01g07120,LOC_Os04g32760,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os06g13220,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g43370,motif,merged
LOC_Os01g07120,LOC_Os01g08560,motif,merged
LOC_Os01g07120,LOC_Os03g50364,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os01g53330,motif,merged
LOC_Os01g07120,LOC_Os07g46500,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g44360,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g20000,motif,merged
LOC_Os01g07120,LOC_Os04g02590,motif,merged
LOC_Os01g07120,LOC_Os12g05715,motif,merged
LOC_Os01g07120,LOC_Os10g17470,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os04g12530,motif,merged
LOC_Os01g07120,LOC_Os04g41140,motif,merged
LOC_Os01g07120,LOC_Os03g24030,motif,merged
LOC_Os01g07120,LOC_Os01g04660,motif,merged
LOC_Os01g07120,LOC_Os05g11640,motif,merged
LOC_Os01g07120,LOC_Os05g43170,motif,merged
LOC_Os01g07120,LOC_Os03g14020,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g13570,motif,merged
LOC_Os01g07120,LOC_Os06g49310,motif,merged
LOC_Os01g07120,LOC_Os09g22320,motif,merged
LOC_Os01g07120,LOC_Os09g21670,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g03676,motif,merged
LOC_Os01g07120,LOC_Os03g08490,motif,merged
LOC_Os01g07120,LOC_Os01g57370,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os01g53630,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os03g43850,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os05g02810,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os02g06350,motif,merged
LOC_Os01g07120,LOC_Os04g30780,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os05g37040,motif,merged
LOC_Os01g07120,LOC_Os08g32520,motif,merged
LOC_Os01g07120,LOC_Os07g39040,motif,merged
LOC_Os01g07120,LOC_Os04g10210,motif,merged
LOC_Os01g07120,LOC_Os10g41430,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g42490,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g26160,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os09g20590,motif,merged
LOC_Os01g07120,LOC_Os09g37050,motif,merged
LOC_Os01g07120,LOC_Os11g04130,motif,merged
LOC_Os01g07120,LOC_Os03g05630,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os09g04480,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os02g17880,motif,merged
LOC_Os01g07120,LOC_Os02g24190,motif,merged
LOC_Os01g07120,LOC_Os12g30500,motif,merged
LOC_Os01g07120,LOC_Os06g40120,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os12g14830,motif,merged
LOC_Os01g07120,LOC_Os04g14140,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os02g05340,motif,merged
LOC_Os01g07120,LOC_Os09g02530,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g32820,motif,merged
LOC_Os01g07120,LOC_Os11g41820,motif,merged
LOC_Os01g07120,LOC_Os02g13440,motif,merged
LOC_Os01g07120,LOC_Os05g38890,motif,merged
LOC_Os01g07120,LOC_Os06g48170,motif,merged
LOC_Os01g07120,LOC_Os08g05560,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g34040,motif,merged
LOC_Os01g07120,LOC_Os08g23730,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g22900,motif,merged
LOC_Os01g07120,LOC_Os12g16640,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os10g21970,motif,merged
LOC_Os01g07120,LOC_Os06g47590,motif,merged
LOC_Os01g07120,LOC_Os09g08300,motif,merged
LOC_Os01g07120,LOC_Os07g47360,motif,merged
LOC_Os01g07120,LOC_Os04g08060,motif,merged
LOC_Os01g07120,LOC_Os08g40919,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g20270,motif,merged
LOC_Os01g07120,LOC_Os02g53880,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g25710,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os12g37750,motif,merged
LOC_Os01g07120,LOC_Os08g41910,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os02g15610,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os02g11920,motif,merged
LOC_Os01g07120,LOC_Os10g32300,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g37340,motif,merged
LOC_Os01g07120,LOC_Os02g42850,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os02g57270,motif,merged
LOC_Os01g07120,LOC_Os08g01859,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os04g02730,motif,merged
LOC_Os01g07120,LOC_Os05g01030,motif,merged
LOC_Os01g07120,LOC_Os05g10420,motif,merged
LOC_Os01g07120,LOC_Os09g28550,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os04g09560,motif,merged
LOC_Os01g07120,LOC_Os06g47830,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os04g46620,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g20310,motif,merged
LOC_Os01g07120,LOC_Os02g04520,motif,merged
LOC_Os01g07120,LOC_Os11g42300,motif,merged
LOC_Os01g07120,LOC_Os09g17780,motif,merged
LOC_Os01g07120,LOC_Os12g35790,motif,merged
LOC_Os01g07120,LOC_Os04g39070,motif,merged
LOC_Os01g07120,LOC_Os03g46310,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g50780,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g70330,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g32290,motif,merged
LOC_Os01g07120,LOC_Os01g66020,FunTFBS,FunTFBS
LOC_Os01g07120,ChrUn.fgenesh.gene.45,motif,merged
LOC_Os01g07120,LOC_Os04g26090,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os07g22024,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g40950,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os04g52700,motif,merged
LOC_Os01g07120,LOC_Os01g60190,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os04g43340,"motif, motif_CE",merged
