sequence_1,sequence_2,tree_distance
sp|Q0JQF7|DRE2A_ORYSJ,sp|Q6J1A5|DRE1D_ORYSJ,0.76471
sp|Q0JQF7|DRE2A_ORYSJ,sp|Q9LWV3|DRE1C_ORYSJ,0.70409
sp|Q0JQF7|DRE2A_ORYSJ,sp|Q3T5N4|DRE1B_ORYSJ,0.71041
sp|Q0JQF7|DRE2A_ORYSJ,sp|Q64MA1|DRE1A_ORYSJ,0.72632
sp|Q6J1A5|DRE1D_ORYSJ,sp|Q9LWV3|DRE1C_ORYSJ,0.618
sp|Q6J1A5|DRE1D_ORYSJ,sp|Q3T5N4|DRE1B_ORYSJ,0.62432
sp|Q6J1A5|DRE1D_ORYSJ,sp|Q64MA1|DRE1A_ORYSJ,0.64023
sp|Q9LWV3|DRE1C_ORYSJ,sp|Q3T5N4|DRE1B_ORYSJ,0.49470000000000003
sp|Q9LWV3|DRE1C_ORYSJ,sp|Q64MA1|DRE1A_ORYSJ,0.51061
sp|Q3T5N4|DRE1B_ORYSJ,sp|Q64MA1|DRE1A_ORYSJ,0.37245
